new_id,source,date,year,month,day,country,region,city,attack_type,target_type,perpetrator_group,killed,wounded,total_casualties,attack_success,property_damage,notes
INC-00001,PAK,10/7/1947,1947,10,7,Pakistan,Punjab,Gujranwala,Militant Attack,Market/Bazaar,Afghan Tribals,8,21,29,Yes,Major,"Militant Attack targeting market/bazaar in Gujranwala, Punjab."
INC-00002,PAK,10/14/1948,1948,10,14,Pakistan,Punjab,Rawalpindi,Sectarian Violence,Market/Bazaar,Unknown,40,3,43,Yes,Unknown,"Sectarian Violence targeting market/bazaar in Rawalpindi, Punjab."
INC-00003,PAK,1/23/1949,1949,1,23,Pakistan,Punjab,Rawalpindi,Ethnic Violence,Civilians,Communist Insurgents,23,33,56,Yes,Unknown,"Ethnic Violence targeting civilians in Rawalpindi, Punjab."
INC-00004,PAK,4/9/1949,1949,4,9,Pakistan,Punjab,Jhang,IED,Hospital,Unknown,12,36,48,Yes,,"IED targeting hospital in Jhang, Punjab."
INC-00005,PAK,5/23/1949,1949,5,23,Pakistan,Azad Kashmir,Bagh,Ambush,Military/Security Forces,Afghan Tribals,14,21,35,Yes,Moderate,"Ambush targeting military/security forces in Bagh, Azad Kashmir."
INC-00006,PAK,8/21/1949,1949,8,21,Pakistan,Azad Kashmir,Rawalakot,IED,Market/Bazaar,Indian Forces,13,17,30,Yes,Moderate,"IED targeting market/bazaar in Rawalakot, Azad Kashmir."
INC-00007,PAK,3/29/1950,1950,3,29,Pakistan,Sindh,Sukkur,Sectarian Violence,School,Indian Forces,40,81,121,Yes,Minor,"Sectarian Violence targeting school in Sukkur, Sindh."
INC-00008,PAK,6/16/1950,1950,6,16,Pakistan,Azad Kashmir,Bagh,Ethnic Violence,School,Unknown,15,43,58,Yes,,"Ethnic Violence targeting school in Bagh, Azad Kashmir."
INC-00009,PAK,6/11/1951,1951,6,11,Pakistan,Punjab,Sialkot,Ethnic Violence,School,Indian Forces,14,36,50,Yes,Major,"Ethnic Violence targeting school in Sialkot, Punjab."
INC-00010,PAK,10/15/1951,1951,10,15,Pakistan,Khyber Pakhtunkhwa,Nowshera,Assassination,School,Afghan Tribals,2,11,13,Yes,Unknown,"Assassination targeting school in Nowshera, Khyber Pakhtunkhwa."
INC-00011,PAK,2/16/1952,1952,2,16,Pakistan,Balochistan,Pishin,Grenade Attack,Market/Bazaar,Afghan Tribals,8,15,23,Yes,,"Grenade Attack targeting market/bazaar in Pishin, Balochistan."
INC-00012,PAK,3/19/1952,1952,3,19,Pakistan,Balochistan,Khuzdar,Armed Assault,Hospital,Unknown,20,25,45,Yes,Minor,"Armed Assault targeting hospital in Khuzdar, Balochistan."
INC-00013,PAK,3/21/1952,1952,3,21,Pakistan,Punjab,Rawalpindi,Ambush,Infrastructure,Indian Forces,10,27,37,Yes,Moderate,"Ambush targeting infrastructure in Rawalpindi, Punjab."
INC-00014,PAK,8/27/1952,1952,8,27,Pakistan,Azad Kashmir,Mirpur,Political Violence,Government Officials,Sectarian Groups,7,19,26,Yes,Unknown,"Political Violence targeting government officials in Mirpur, Azad Kashmir."
INC-00015,PAK,2/2/1953,1953,2,2,Pakistan,Khyber Pakhtunkhwa,Bannu,Drone Strike,Ethnic Group,Indian Forces,8,7,15,Yes,Unknown,"Drone Strike targeting ethnic group in Bannu, Khyber Pakhtunkhwa."
INC-00016,PAK,2/4/1953,1953,2,4,Pakistan,Balochistan,Gwadar,Militant Attack,Military/Security Forces,Indian Forces,5,7,12,No,Moderate,"Militant Attack targeting military/security forces in Gwadar, Balochistan."
INC-00017,PAK,3/6/1953,1953,3,6,Pakistan,Balochistan,Turbat,IED,Paramilitary,Indian Forces,18,49,67,Yes,Major,"IED targeting paramilitary in Turbat, Balochistan."
INC-00018,PAK,6/7/1953,1953,6,7,Pakistan,Balochistan,Quetta,Mortar Attack,Paramilitary,Indian Forces,1,5,6,Yes,Minor,"Mortar Attack targeting paramilitary in Quetta, Balochistan."
INC-00019,PAK,12/20/1953,1953,12,20,Pakistan,Balochistan,Khuzdar,Ambush,Judges/Lawyers,Afghan Tribals,18,48,66,Yes,Moderate,"Ambush targeting judges/lawyers in Khuzdar, Balochistan."
INC-00020,PAK,10/20/1954,1954,10,20,Pakistan,Balochistan,Gwadar,Ambush,Paramilitary,Afghan Tribals,18,8,26,Yes,Minor,"Ambush targeting paramilitary in Gwadar, Balochistan."
INC-00021,PAK,4/8/1955,1955,4,8,Pakistan,Punjab,Lahore,Ethnic Violence,Infrastructure,Indian Forces,16,12,28,Yes,Minor,"Ethnic Violence targeting infrastructure in Lahore, Punjab."
INC-00022,PAK,4/20/1955,1955,4,20,Pakistan,Punjab,Rawalpindi,Militant Attack,Political Party,Sectarian Groups,33,61,94,No,,"Militant Attack targeting political party in Rawalpindi, Punjab."
INC-00023,PAK,7/30/1955,1955,7,30,Pakistan,Khyber Pakhtunkhwa,Dera Ismail Khan,Armed Assault,Civilians,Sectarian Groups,12,27,39,Yes,,"Armed Assault targeting civilians in Dera Ismail Khan, Khyber Pakhtunkhwa."
INC-00024,PAK,10/9/1955,1955,10,9,Pakistan,Khyber Pakhtunkhwa,Swat,Ambush,Ethnic Group,Afghan Tribals,3,7,10,Yes,Unknown,"Ambush targeting ethnic group in Swat, Khyber Pakhtunkhwa."
INC-00025,PAK,10/4/1956,1956,10,4,Pakistan,Khyber Pakhtunkhwa,Swat,Sectarian Violence,Hospital,Afghan Tribals,5,18,23,Yes,Moderate,"Sectarian Violence targeting hospital in Swat, Khyber Pakhtunkhwa."
INC-00026,PAK,12/22/1956,1956,12,22,Pakistan,Khyber Pakhtunkhwa,Peshawar,Ethnic Violence,School,Sectarian Groups,19,27,46,No,Unknown,"Ethnic Violence targeting school in Peshawar, Khyber Pakhtunkhwa."
INC-00027,PAK,2/5/1957,1957,2,5,Pakistan,Punjab,Sargodha,Kidnapping,Police,Unknown,0,1,1,Yes,Minor,"Kidnapping targeting police in Sargodha, Punjab."
INC-00028,PAK,5/16/1958,1958,5,16,Pakistan,Punjab,Sargodha,Armed Assault,Government Officials,Unknown,7,16,23,Yes,Moderate,"Armed Assault targeting government officials in Sargodha, Punjab."
INC-00029,PAK,8/23/1958,1958,8,23,Pakistan,Azad Kashmir,Rawalakot,Militant Attack,School,Sectarian Groups,10,19,29,Yes,,"Militant Attack targeting school in Rawalakot, Azad Kashmir."
INC-00030,PAK,9/25/1958,1958,9,25,Pakistan,Punjab,Multan,Suicide Bombing,Government Officials,Sectarian Groups,79,144,223,Yes,Moderate,"Suicide Bombing targeting government officials in Multan, Punjab."
INC-00031,PAK,10/6/1958,1958,10,6,Pakistan,Punjab,Multan,Grenade Attack,Hospital,Afghan Tribals,7,26,33,Yes,Unknown,"Grenade Attack targeting hospital in Multan, Punjab."
INC-00032,PAK,3/18/1959,1959,3,18,Pakistan,Khyber Pakhtunkhwa,Charsadda,Political Violence,Military/Security Forces,Indian Forces,2,11,13,Yes,Moderate,"Political Violence targeting military/security forces in Charsadda, Khyber Pakhtunkhwa."
INC-00033,PAK,5/9/1959,1959,5,9,Pakistan,Balochistan,Gwadar,Mortar Attack,Mosque/Shrine,Communist Insurgents,8,15,23,No,,"Mortar Attack targeting mosque/shrine in Gwadar, Balochistan."
INC-00034,PAK,7/6/1959,1959,7,6,Pakistan,Balochistan,Dera Bugti,Assassination,Judges/Lawyers,Afghan Tribals,1,4,5,No,,"Assassination targeting judges/lawyers in Dera Bugti, Balochistan."
INC-00035,PAK,10/11/1959,1959,10,11,Pakistan,Punjab,Gujranwala,Armed Assault,Religious Minority,Communist Insurgents,4,3,7,Yes,Moderate,"Armed Assault targeting religious minority in Gujranwala, Punjab."
INC-00036,PAK,11/23/1959,1959,11,23,Pakistan,Punjab,Jhang,Ambush,Police,Indian Forces,11,8,19,No,Minor,"Ambush targeting police in Jhang, Punjab."
INC-00037,PAK,3/20/1960,1960,3,20,Pakistan,Azad Kashmir,Mirpur,Armed Assault,Foreign Nationals,Unknown,14,39,53,No,Minor,"Armed Assault targeting foreign nationals in Mirpur, Azad Kashmir."
INC-00038,PAK,4/12/1960,1960,4,12,Pakistan,Sindh,Hyderabad,Armed Assault,Journalists,Indian Forces,16,14,30,Yes,Major,"Armed Assault targeting journalists in Hyderabad, Sindh."
INC-00039,PAK,7/29/1960,1960,7,29,Pakistan,Azad Kashmir,Mirpur,Political Violence,Military/Security Forces,Afghan Tribals,12,21,33,Yes,Minor,"Political Violence targeting military/security forces in Mirpur, Azad Kashmir."
INC-00040,PAK,5/14/1961,1961,5,14,Pakistan,Sindh,Nawabshah,Ethnic Violence,Infrastructure,Indian Forces,8,28,36,Yes,Moderate,"Ethnic Violence targeting infrastructure in Nawabshah, Sindh."
INC-00041,PAK,5/23/1961,1961,5,23,Pakistan,Sindh,Hyderabad,Militant Attack,Military/Security Forces,Afghan Tribals,27,42,69,No,Moderate,"Militant Attack targeting military/security forces in Hyderabad, Sindh."
INC-00042,PAK,9/19/1961,1961,9,19,Pakistan,Punjab,Rawalpindi,Political Violence,Foreign Nationals,Communist Insurgents,7,19,26,Yes,Unknown,"Political Violence targeting foreign nationals in Rawalpindi, Punjab."
INC-00043,PAK,6/3/1962,1962,6,3,Pakistan,Sindh,Larkana,IED,Infrastructure,Unknown,11,7,18,Yes,Major,"IED targeting infrastructure in Larkana, Sindh."
INC-00044,PAK,12/18/1962,1962,12,18,Pakistan,Sindh,Karachi,Political Violence,Military/Security Forces,Unknown,15,34,49,Yes,Minor,"Political Violence targeting military/security forces in Karachi, Sindh."
INC-00045,PAK,5/26/1963,1963,5,26,Pakistan,Khyber Pakhtunkhwa,Nowshera,Sectarian Violence,Paramilitary,Afghan Tribals,44,21,65,Yes,Unknown,"Sectarian Violence targeting paramilitary in Nowshera, Khyber Pakhtunkhwa."
INC-00046,PAK,11/7/1963,1963,11,7,Pakistan,Balochistan,Quetta,Rocket Attack,Hospital,Afghan Tribals,6,18,24,Yes,Major,"Rocket Attack targeting hospital in Quetta, Balochistan."
INC-00047,PAK,11/12/1963,1963,11,12,Pakistan,Khyber Pakhtunkhwa,Kohat,Assassination,Mosque/Shrine,Sectarian Groups,4,5,9,Yes,Major,"Assassination targeting mosque/shrine in Kohat, Khyber Pakhtunkhwa."
INC-00048,PAK,1/24/1964,1964,1,24,Pakistan,Punjab,Multan,Rocket Attack,Market/Bazaar,Afghan Tribals,2,0,2,Yes,Major,"Rocket Attack targeting market/bazaar in Multan, Punjab."
INC-00049,PAK,12/22/1964,1964,12,22,Pakistan,Balochistan,Turbat,Drone Strike,Judges/Lawyers,Unknown,7,22,29,Yes,Major,"Drone Strike targeting judges/lawyers in Turbat, Balochistan."
INC-00050,PAK,12/22/1964,1964,12,22,Pakistan,Azad Kashmir,Mirpur,Bombing,Civilians,Sectarian Groups,8,5,13,Yes,,"Bombing targeting civilians in Mirpur, Azad Kashmir."
INC-00051,PAK,2/1/1965,1965,2,1,Pakistan,Punjab,Jhang,Political Violence,Infrastructure,Unknown,8,13,21,Yes,Major,"Political Violence targeting infrastructure in Jhang, Punjab."
INC-00052,PAK,5/27/1965,1965,5,27,Pakistan,Sindh,Mirpur Khas,Military Operation,Market/Bazaar,Communist Insurgents,31,9,40,Yes,Moderate,"Military Operation targeting market/bazaar in Mirpur Khas, Sindh."
INC-00053,PAK,8/19/1965,1965,8,19,Pakistan,Balochistan,Dera Bugti,Political Violence,Ethnic Group,Afghan Tribals,12,30,42,Yes,Minor,"Political Violence targeting ethnic group in Dera Bugti, Balochistan."
INC-00054,PAK,10/14/1965,1965,10,14,Pakistan,Azad Kashmir,Muzaffarabad,Drone Strike,Religious Minority,Sectarian Groups,22,67,89,Yes,Major,"Drone Strike targeting religious minority in Muzaffarabad, Azad Kashmir."
INC-00055,PAK,12/22/1965,1965,12,22,Pakistan,Sindh,Mirpur Khas,IED,Religious Minority,Afghan Tribals,8,12,20,Yes,Minor,"IED targeting religious minority in Mirpur Khas, Sindh."
INC-00056,PAK,7/14/1966,1966,7,14,Pakistan,Punjab,Jhang,Assassination,Ethnic Group,Afghan Tribals,1,4,5,Yes,Major,"Assassination targeting ethnic group in Jhang, Punjab."
INC-00057,PAK,7/19/1966,1966,7,19,Pakistan,Balochistan,Quetta,Ethnic Violence,Paramilitary,Indian Forces,23,38,61,No,Major,"Ethnic Violence targeting paramilitary in Quetta, Balochistan."
INC-00058,PAK,7/21/1966,1966,7,21,Pakistan,Khyber Pakhtunkhwa,Swat,Drone Strike,Religious Minority,Unknown,18,1,19,Yes,,"Drone Strike targeting religious minority in Swat, Khyber Pakhtunkhwa."
INC-00059,PAK,9/6/1966,1966,9,6,Pakistan,Balochistan,Dera Bugti,Militant Attack,Paramilitary,Afghan Tribals,19,27,46,Yes,Moderate,"Militant Attack targeting paramilitary in Dera Bugti, Balochistan."
INC-00060,PAK,1/10/1967,1967,1,10,Pakistan,Sindh,Larkana,Ambush,Judges/Lawyers,Communist Insurgents,3,7,10,Yes,,"Ambush targeting judges/lawyers in Larkana, Sindh."
INC-00061,PAK,1/11/1967,1967,1,11,Pakistan,Sindh,Hyderabad,IED,Police,Indian Forces,8,6,14,Yes,Minor,"IED targeting police in Hyderabad, Sindh."
INC-00062,PAK,7/8/1967,1967,7,8,Pakistan,Azad Kashmir,Bagh,Armed Assault,Mosque/Shrine,Sectarian Groups,23,32,55,Yes,Unknown,"Armed Assault targeting mosque/shrine in Bagh, Azad Kashmir."
INC-00063,PAK,7/11/1968,1968,7,11,Pakistan,Azad Kashmir,Rawalakot,Armed Assault,Military/Security Forces,Communist Insurgents,19,43,62,Yes,Minor,"Armed Assault targeting military/security forces in Rawalakot, Azad Kashmir."
INC-00064,PAK,6/27/1969,1969,6,27,Pakistan,Balochistan,Gwadar,Armed Assault,Hospital,Unknown,4,1,5,Yes,Moderate,"Armed Assault targeting hospital in Gwadar, Balochistan."
INC-00065,PAK,7/5/1970,1970,7,5,Pakistan,Balochistan,Mastung,Bombing,Judges/Lawyers,Sectarian Groups,4,13,17,Yes,Major,"Bombing targeting judges/lawyers in Mastung, Balochistan."
INC-00066,PAK,6/24/1971,1971,6,24,Pakistan,Khyber Pakhtunkhwa,Bannu,Kidnapping,Paramilitary,Pashtun Nationalists,1,4,5,Yes,Unknown,"Kidnapping targeting paramilitary in Bannu, Khyber Pakhtunkhwa."
INC-00067,PAK,7/27/1971,1971,7,27,Pakistan,Khyber Pakhtunkhwa,Nowshera,Drone Strike,Military/Security Forces,Baloch Separatists,10,14,24,Yes,Moderate,"Drone Strike targeting military/security forces in Nowshera, Khyber Pakhtunkhwa."
INC-00068,PAK,7/28/1971,1971,7,28,Pakistan,Sindh,Mirpur Khas,Bombing,Mosque/Shrine,Baloch Separatists,8,23,31,Yes,Minor,"Bombing targeting mosque/shrine in Mirpur Khas, Sindh."
