incident_id,date,year,month,day,country,region,city,attack_type,target_type,perpetrator_group,killed,wounded,total_casualties,attack_success,property_damage,notes
PAK-00001,1947-10-07,1947,10,7,Pakistan,Punjab,Gujranwala,Militant Attack,Market/Bazaar,Afghan Tribals,8,21,29,Yes,Major,"Militant Attack targeting market/bazaar in Gujranwala, Punjab."
PAK-00002,1948-10-14,1948,10,14,Pakistan,Punjab,Rawalpindi,Sectarian Violence,Market/Bazaar,Unknown,40,3,43,Yes,Unknown,"Sectarian Violence targeting market/bazaar in Rawalpindi, Punjab."
PAK-00004,1949-01-23,1949,1,23,Pakistan,Punjab,Rawalpindi,Ethnic Violence,Civilians,Communist Insurgents,23,33,56,Yes,Unknown,"Ethnic Violence targeting civilians in Rawalpindi, Punjab."
PAK-00005,1949-04-09,1949,4,9,Pakistan,Punjab,Jhang,IED,Hospital,Unknown,12,36,48,Yes,None,"IED targeting hospital in Jhang, Punjab."
PAK-00003,1949-05-23,1949,5,23,Pakistan,Azad Kashmir,Bagh,Ambush,Military/Security Forces,Afghan Tribals,14,21,35,Yes,Moderate,"Ambush targeting military/security forces in Bagh, Azad Kashmir."
PAK-00006,1949-08-21,1949,8,21,Pakistan,Azad Kashmir,Rawalakot,IED,Market/Bazaar,Indian Forces,13,17,30,Yes,Moderate,"IED targeting market/bazaar in Rawalakot, Azad Kashmir."
PAK-00007,1950-03-29,1950,3,29,Pakistan,Sindh,Sukkur,Sectarian Violence,School,Indian Forces,40,81,121,Yes,Minor,"Sectarian Violence targeting school in Sukkur, Sindh."
PAK-00008,1950-06-16,1950,6,16,Pakistan,Azad Kashmir,Bagh,Ethnic Violence,School,Unknown,15,43,58,Yes,None,"Ethnic Violence targeting school in Bagh, Azad Kashmir."
PAK-00009,1951-06-11,1951,6,11,Pakistan,Punjab,Sialkot,Ethnic Violence,School,Indian Forces,14,36,50,Yes,Major,"Ethnic Violence targeting school in Sialkot, Punjab."
PAK-00010,1951-10-15,1951,10,15,Pakistan,Khyber Pakhtunkhwa,Nowshera,Assassination,School,Afghan Tribals,2,11,13,Yes,Unknown,"Assassination targeting school in Nowshera, Khyber Pakhtunkhwa."
PAK-00011,1952-02-16,1952,2,16,Pakistan,Balochistan,Pishin,Grenade Attack,Market/Bazaar,Afghan Tribals,8,15,23,Yes,None,"Grenade Attack targeting market/bazaar in Pishin, Balochistan."
PAK-00014,1952-03-19,1952,3,19,Pakistan,Balochistan,Khuzdar,Armed Assault,Hospital,Unknown,20,25,45,Yes,Minor,"Armed Assault targeting hospital in Khuzdar, Balochistan."
PAK-00013,1952-03-21,1952,3,21,Pakistan,Punjab,Rawalpindi,Ambush,Infrastructure,Indian Forces,10,27,37,Yes,Moderate,"Ambush targeting infrastructure in Rawalpindi, Punjab."
PAK-00012,1952-08-27,1952,8,27,Pakistan,Azad Kashmir,Mirpur,Political Violence,Government Officials,Sectarian Groups,7,19,26,Yes,Unknown,"Political Violence targeting government officials in Mirpur, Azad Kashmir."
PAK-00018,1953-02-02,1953,2,2,Pakistan,Khyber Pakhtunkhwa,Bannu,Drone Strike,Ethnic Group,Indian Forces,8,7,15,Yes,Unknown,"Drone Strike targeting ethnic group in Bannu, Khyber Pakhtunkhwa."
PAK-00019,1953-02-04,1953,2,4,Pakistan,Balochistan,Gwadar,Militant Attack,Military/Security Forces,Indian Forces,5,7,12,No,Moderate,"Militant Attack targeting military/security forces in Gwadar, Balochistan."
